Name,meets_score_diff,meets_mem_diff,meets_time_diff,alws_score_diff,alws_mem_diff,alws_time_diff
00_4_8_2_0,104.51250917778,99.5742629930115,88.6310491954293,113.871324778363,102.763274158567,88.6675275180028
01_4_8_2_1,100,102.459533319319,44.1119201051766,120.090533775437,107.292177609605,78.8165676828233
02_4_8_2_2,100,100.556808156063,177.587314375674,113.091467217826,92.8359964709342,84.7008290688091
03_4_8_2_3,102.49560095263,105.855579586171,73.26530365597,116.536012584256,105.566674198651,99.5498106226185
04_4_8_2_4,108.048794368552,101.021121003582,97.95490971075,117.88420364741,99.274662227441,139.562159532016
05_4_8_2_5,100.96680963107,102.456519224095,195.187774027496,119.550382095508,100.784774979754,163.036239508462
06_4_8_2_6,102.838552313056,116.45198938992,471.667056428912,113.034510953197,99.1915119363395,124.035251829717
07_4_8_2_7,113.019291235091,100.881866283615,91.3021399444211,119.176918170685,105.545757041293,116.62513788094
08_4_8_2_8,100.661684755388,96.2640601754654,98.6954801574842,110.044931910034,94.2633093725234,96.9396491544287
09_4_8_2_9,103.379078507748,96.6794752070544,119.574998791363,112.92383821734,97.0499533075121,79.0113247379357
10_4_8_2_10,104.81064643859,95.4479619284089,63.9297996246053,109.375705499312,94.95965238982,93.9546568739976
11_4_8_2_11,100,99.6266769010694,73.9009681686033,110.999235865819,95.373584774,141.221319082757
12_4_8_2_12,110.259184275315,99.4134980853275,64.9758133075936,112.189812222285,100.620667074751,54.2946326466252
13_4_8_2_13,111.288612631976,97.7147108843537,49.0829085625361,114.476669038732,92.3801551870748,15.5383735974215
14_4_8_2_14,101.695162816134,94.524606110628,35.0481632415273,117.209783404354,93.8775810992056,85.0215210768378
15_4_8_2_15,102.671415850401,99.3833136137105,112.192661563454,111.968486490328,96.6458714280592,78.4661349837587
16_4_8_2_16,103.733874174288,96.2901551780877,98.5571251377378,109.199419509256,104.931271042706,149.746546868865
17_4_8_2_17,105.62302335463,102.328972764315,120.504150479954,133.638655868426,111.700621917221,416.166270549568
18_4_8_2_18,110.97156371854,98.4602120407916,61.7440796256514,115.041208791209,101.25958157643,131.533693811628
19_4_8_2_19,101.346643548424,101.702424289366,120.978834306888,115.532465033065,99.749051196654,118.333273669334
20_4_8_2_20,103.197061621121,102.514840798705,220.966491519933,112.654084937916,115.725849973017,455.24133462909
21_4_8_2_21,100,96.8546360257047,109.924931776748,111.530108300846,102.826312700348,62.1493095224756
22_4_8_2_22,102.590502985588,100.864395284067,111.597824185056,106.915191332066,98.4198450149357,119.171989579548
23_4_8_2_23,104.425872532613,100.137015937117,137.318127209643,110.920821823901,97.8784163842215,172.675712916775
24_4_8_2_24,101.169675969687,107.287260735537,167.267131298371,109.565866117206,98.3152914187397,116.687506025773
25_4_8_2_25,103.502331196681,103.626504767753,108.395850643066,116.702173782542,113.820111459987,165.590175414823
26_4_8_2_26,102.264079248051,103.73594256306,127.591945485147,117.94691816066,116.95999322278,443.042092957938
27_4_8_2_27,104.704072434148,99.0428073592744,110.896611272405,113.675273105644,92.6719218419491,95.3047877168156
28_4_8_2_28,107.973602333046,101.424853054391,144.324648500016,121.362750301023,92.0386641086114,108.54714483185
29_4_8_2_29,111.050189399248,100.165168184299,100.557718942849,117.834924586022,96.8589320081579,133.057609061696
30_4_8_4_0,105.768437218006,107.777137782898,97.2278576493046,114.485710787611,106.706746346029,166.44671371225
31_4_8_4_1,113.385337643204,102.309646412633,72.0947584607187,120.410867031686,101.737040851356,170.392487993595
32_4_8_4_2,112.872030547255,69.8370190758276,66.1000033480149,115.835697827684,97.6703856601341,121.264039318031
33_4_8_4_3,104.05156384194,102.403732908595,88.2111267982742,107.496935686948,96.3388781084204,130.815836083473
34_4_8_4_4,100.385305443208,98.5702674745086,73.9451477090415,120.796802201205,99.6601152652579,137.078356994857
35_4_8_4_5,106.515177343065,66.2399422016805,36.3047108771146,108.891517596558,122.609138864421,136.250918403731
36_4_8_4_6,118.485357901185,100.667347949957,79.5026581137476,120.301576968189,100.057289731203,103.27445537774
37_4_8_4_7,112.970235347826,108.481156942367,132.006929272166,114.033979272442,109.068889363824,160.930003343183
38_4_8_4_8,100,97.1464692071519,73.411055090409,128.02030348365,103.772600485622,137.342578792814
39_4_8_4_9,106.007377384877,103.893657106971,164.665545881893,114.6502590851,99.139817687023,117.861707498311
40_4_8_4_10,106.05150106454,88.5916007859982,49.3380409863229,114.637111505852,92.0177763560755,88.0849869246165
41_4_8_4_11,108.159307940029,102.748784622497,97.6438179255208,111.510685166315,97.1475405242585,49.8980993896322
42_4_8_4_12,100.33649565292,102.567804475611,164.605082959123,108.819144310043,95.6172011962463,100.164355914709
