Experiment config name,,,2 Skills,,,,4 Skills,,,,8 Skills
05_4_8_2_5,1.37690930464387,0.001394453820345,-2.85559586354316,35_4_8_4_5,1.35600923842835,1.6254925445292E-06,-5.7890150180948,65_4_8_8_5,1.51561795958766,5.69202901281828E-05,-4.24473289494145
05_4_8_2_5,1.51713297547146,0.001483616560779,-2.82867832753088,35_4_8_4_5,1.70696315215225,1.55042893295103E-06,-5.80954813573724,65_4_8_8_5,1.44694473492867,5.65147005373259E-05,-4.24783856931643
05_4_8_2_5,1.38510517717869,0.001939289604439,-2.71235733057159,35_4_8_4_5,1.31700716160305,1.62659967744334E-06,-5.78871931815698,65_4_8_8_5,1.32736831021731,5.15022254050376E-05,-4.28817400474042
05_4_8_2_5,1.52808044455676,0.00149369023578,-2.82573945796909,35_4_8_4_5,1.66913867704463,1.54666468104298E-06,-5.81060383171605,65_4_8_8_5,1.78996180848614,5.48234684697905E-05,-4.26103349178741
06_4_8_2_6,1.01779083515179,0.005792399561747,-2.23714148799242,36_4_8_4_6,1.24475167610885,0.00057662153705,-3.2391091405682,66_4_8_8_6,1.74289534771379,3.94913823939968E-05,-4.40349766353931
06_4_8_2_6,1.01779083515179,0.004000561433303,-2.39787905610318,36_4_8_4_6,1.36953277013857,0.000745279536232,-3.12768080339539,66_4_8_8_6,1.4442843171035,4.60083034213946E-05,-4.33716378126056
06_4_8_2_6,1.01779083515179,0.004011035935223,-2.39674344711855,36_4_8_4_6,1.52201425270531,0.001031150044333,-2.98667813521649,66_4_8_8_6,1.60687835850539,4.08400742153499E-05,-4.38891347737632
06_4_8_2_6,1.01779083515179,0.005987923597586,-2.22272374963799,36_4_8_4_6,1.25119632435101,0.00075936103901,-3.11955168923072,66_4_8_8_6,1.38746559118544,3.96178222522486E-05,-4.40210940082739
06_4_8_2_6,1.01779083515179,0.006235820143026,-2.20510641946425,36_4_8_4_6,1.59416126118181,0.000638068094627,-3.19513297089843,66_4_8_8_6,1.52890554846493,4.03922663840413E-05,-4.3937017781628
07_4_8_2_7,1.48509711001109,0.00124201803491,-2.90587209787513,37_4_8_4_7,1.44848264233623,2.35190510047135E-05,-4.62858020605386,67_4_8_8_7,1.49301360724189,1.23936844154355E-06,-5.90679956663235
07_4_8_2_7,1.16519206834488,0.001009711783074,-2.99580257560703,37_4_8_4_7,1.49859983625151,2.55420566246231E-05,-4.59274413664327,67_4_8_8_7,1.50591578746827,1.29320720963841E-06,-5.88833188285924
07_4_8_2_7,1.61838616554667,0.001225091631431,-2.91183142677992,37_4_8_4_7,1.40618953473569,2.84541538864038E-05,-4.54585432405774,67_4_8_8_7,1.44954635086561,1.15845646434957E-06,-5.93612028267506
07_4_8_2_7,1.20299357254258,0.00101489333516,-2.99357959951023,37_4_8_4_7,1.54317116162835,2.48945659723909E-05,-4.60389544108721,67_4_8_8_7,1.60046295376909,1.3687353100229E-06,-5.86368052886437
07_4_8_2_7,1.58722249768582,0.00100763916224,-2.99669496184273,37_4_8_4_7,1.42308070758291,2.39732608652346E-05,-4.62027288880913,67_4_8_8_7,1.57429155017347,1.29428398500031E-06,-5.88797042259542
08_4_8_2_8,1.21041032899881,7.53733231925114E-05,-4.1227823363621,38_4_8_4_8,1.23013077416665,0.001284949051817,-2.89111409175152,68_4_8_8_8,1.7480702072967,4.84861702882761E-06,-5.3143821175622
08_4_8_2_8,1.48245936220457,8.94450650342087E-05,-4.04844361582925,38_4_8_4_8,1.34559752241716,0.001324854301874,-2.87783187974331,68_4_8_8_8,2.16443577295711,4.99241532302309E-06,-5.30168929251749
08_4_8_2_8,1.22469657430852,9.47086314855259E-05,-4.02361043878225,38_4_8_4_8,1.0761421238024,0.001268716407727,-2.89663544356602,68_4_8_8_8,1.20212682690216,4.71135502073192E-06,-5.32685416858378
08_4_8_2_8,1.44148782198886,7.42945291675793E-05,-4.12904316524089,38_4_8_4_8,1.31470414018647,0.001136555630421,-2.94440930222354,68_4_8_8_8,1.59283937462291,5.90880263421428E-06,-5.22850051607942
08_4_8_2_8,1.58158234133027,0.00015221665143,-3.81753783620802,38_4_8_4_8,1.34559752241716,0.001196210597455,-2.92219235441038,68_4_8_8_8,1.56406652817869,4.86430411546711E-06,-5.31297928086927
09_4_8_2_9,1.47357796997192,0.000587465167936,-3.23101787853953,39_4_8_4_9,1.53584694819743,0.000988249583629,-3.00513335996284,69_4_8_8_9,1.58022297782517,1.74219692468445E-06,-5.75890275721
09_4_8_2_9,1.11417849961359,0.000620343445438,-3.20736780217635,39_4_8_4_9,1.5762903714174,0.001381310366192,-2.85970872896627,69_4_8_8_9,1.49856562268977,1.73834701597268E-06,-5.75986352358432
09_4_8_2_9,1.22197219557141,0.000501262668154,-3.29993463853178,39_4_8_4_9,1.5762903714174,0.001248194190123,-2.90371784322876,69_4_8_8_9,1.33944091485613,1.7603141421516E-06,-5.75440982194226
09_4_8_2_9,1.47357796997192,0.000484711189047,-3.31451695493106,39_4_8_4_9,1.70280309381067,0.001005272504762,-2.99771619568392,69_4_8_8_9,1.33944091485613,1.74491450730452E-06,-5.75822584659331
09_4_8_2_9,1.41178310689381,0.001057422323572,-2.97575152530825,39_4_8_4_9,1.58923054851551,0.000922611653493,-3.03498106412644,69_4_8_8_9,1.45915461098926,1.75329372038308E-06,-5.75614532266481
10_4_8_2_10,1.63210832715786,9.37109629226334E-05,-4.02820959952524,40_4_8_4_10,1.80266527165623,4.09538793314456E-05,-4.38770495367296,70_4_8_8_10,1.49688330159772,8.39001384070437E-05,-4.07623732273071
10_4_8_2_10,1.48449682898759,9.14839356611824E-05,-4.03865516020906,40_4_8_4_10,1.75283239534926,4.09658910279792E-05,-4.38757759458644,70_4_8_8_10,1.33749257432381,8.61436384800082E-05,-4.06477678873294
10_4_8_2_10,1.51091313850933,9.77254725913015E-05,-4.00999222068289,40_4_8_4_10,1.36161609350345,3.87737564105899E-05,-4.41146212240358,70_4_8_8_10,1.76399984935107,8.38663167979035E-05,-4.07641242970784
10_4_8_2_10,1.42162825865555,9.94103945325309E-05,-4.00256820260369,40_4_8_4_10,1.54098246430194,3.99629143674203E-05,-4.39834284758479,70_4_8_8_10,1.50489803997794,8.01346659227717E-05,-4.09617956928296
10_4_8_2_10,1.31432731785503,0.000104318645405,-3.98163806096258,40_4_8_4_10,1.64897862997899,4.54282362902265E-05,-4.34267412394459,70_4_8_8_10,1.33749257432381,8.65494977896902E-05,-4.06273544780937
11_4_8_2_11,1.52272975475277,0.000664642232857,-3.17741206613561,41_4_8_4_11,1.64313826871142,0.00019894052502,-3.70127674025572,71_4_8_8_11,1.32992604681138,3.4545648607057E-06,-5.46160664886744
11_4_8_2_11,1.88027266598849,0.000566348709046,-3.24691608509738,41_4_8_4_11,1.3364368869192,0.000194355503259,-3.71140315762539,71_4_8_8_11,1.57803436243685,3.67577454255162E-06,-5.43465113437203
11_4_8_2_11,1.75632968322568,0.000760807353594,-3.11872529837108,41_4_8_4_11,1.55222155535814,0.000209895157849,-3.6779975802059,71_4_8_8_11,1.52040206129513,3.28918229021748E-06,-5.48291205675701
11_4_8_2_11,1.52272975475277,0.000746875988014,-3.12675150285942,41_4_8_4_11,1.10409231632679,0.000224885708037,-3.64803814402161,71_4_8_8_11,1.60051117464934,3.52844133889333E-06,-5.45241709841029
11_4_8_2_11,1.75137917672944,0.000575636286099,-3.23985183746661,41_4_8_4_11,1.4364308169257,0.000195618443385,-3.70859020127369,71_4_8_8_11,1.26154265291346,3.78910777613492E-06,-5.42146304161997
12_4_8_2_12,1.38216574799857,0.000499170466603,-3.30175111757818,42_4_8_4_12,1.33963397120303,0.002366319219312,-2.62592666890748,72_4_8_8_12,1.18991178279092,1.65296327064761E-06,-5.78173679647833
12_4_8_2_12,1.63238903939894,0.000473657805294,-3.32453530166486,42_4_8_4_12,1.62851246176503,0.002935068682799,-2.53238173148228,72_4_8_8_12,1.2116215724423,1.582717240141E-06,-5.80059666695401
12_4_8_2_12,1.06901783120119,0.000486674469227,-3.31276143609611,42_4_8_4_12,1.33963397120303,0.003180175227436,-2.49754894976026,72_4_8_8_12,1.41320084000926,1.71840988292084E-06,-5.76487323825845
12_4_8_2_12,1.09467077553149,0.000463095712274,-3.33432924004797,42_4_8_4_12,2.00677469723474,0.003004472920476,-2.52223170595963,72_4_8_8_12,1.14262083958865,1.71339230931322E-06,-5.76614318679336
12_4_8_2_12,1.33929995973318,0.000454616285483,-3.34235501082684,42_4_8_4_12,1.33963397120303,0.002750964810225,-2.5605149649803,72_4_8_8_12,1.16575630400465,1.60540539906239E-06,-5.79441528080172
13_4_8_2_13,1.05995155449663,0.000502246438076,-3.29908313457852,43_4_8_4_13,1.60376902230716,2.79222569649906E-05,-4.55404948046772,73_4_8_8_13,1.12041522412878,1.26850894834836E-06,-5.89670646482017
13_4_8_2_13,1.22719216099485,0.000533562326128,-3.27281484275759,43_4_8_4_13,1.72522525484701,2.17056365682696E-05,-4.66342747294286,73_4_8_8_13,1.30172058493581,1.16641599032107E-06,-5.93314653527044
13_4_8_2_13,1.32332506714655,0.000530542012052,-3.2752802199059,43_4_8_4_13,1.72522525484701,2.49773884296425E-05,-4.60245297228243,73_4_8_8_13,1.25968995620635,1.17036084959569E-06,-5.9316802144707
13_4_8_2_13,1.16911618402927,0.00050049783519,-3.30059779664045,43_4_8_4_13,1.31818051492598,2.63345379528703E-05,-4.57947429706269,73_4_8_8_13,1.3555306615539,1.26519526655768E-06,-5.89784244156799
13_4_8_2_13,1.05995155449663,0.000575608277346,-3.23987296946152,43_4_8_4_13,1.30275623865673,2.49015048003867E-05,-4.60377440765296,73_4_8_8_13,1.11955060754244,1.16688937343403E-06,-5.93297031514958
14_4_8_2_14,1.70461031681217,0.000165231802644,-3.78190635905134,44_4_8_4_14,1.41536348642174,0.000200595439032,-3.69767894582141,74_4_8_8_14,1.31533550292801,6.58841327212192E-06,-5.18121916661024
14_4_8_2_14,1.28404505838802,0.000267964811698,-3.57192223242142,44_4_8_4_14,1.69871189307723,0.000319775850152,-3.49515433778157,74_4_8_8_14,1.32849774184028,6.41130538846273E-06,-5.19305353595897
14_4_8_2_14,1.07451234338498,0.000189742585439,-3.72183518600383,44_4_8_4_14,1.22044291066778,0.000172066417106,-3.76430388439966,74_4_8_8_14,1.33634540312543,6.00307171662829E-06,-5.22162646824668
14_4_8_2_14,1.04315228361147,0.000182115362998,-3.73965341618231,44_4_8_4_14,1.41536348642174,0.000218103528565,-3.661337308177,74_4_8_8_14,1.19190728025394,6.27847447571834E-06,-5.20214586697305
14_4_8_2_14,1.18167992489172,0.000148422292994,-3.8285008632276,44_4_8_4_14,1.69871189307723,0.000218489381778,-3.66056966417351,74_4_8_8_14,1.56573660101324,6.2873298699013E-06,-5.20153375343705
15_4_8_2_15,1.47298129462409,0.001093742326007,-2.96108498108691,45_4_8_4_15,1.35399303575264,0.000110232599545,-3.95768995077685,75_4_8_8_15,1.24280958560098,0.000516186254543,-3.28719356440946
15_4_8_2_15,1.40622741489193,0.001066518332692,-2.97203167493685,45_4_8_4_15,1.58123579850798,0.000107901869116,-3.96697103224275,75_4_8_8_15,1.24381569313344,0.000506597655388,-3.29533682452281
15_4_8_2_15,1.47298129462409,0.001269042769445,-2.89652374100924,45_4_8_4_15,1.23579147637492,0.00012396670234,-3.90669495138433,75_4_8_8_15,1.37176929006552,0.000629518169563,-3.20099173048527
15_4_8_2_15,1.38504023022264,0.001097605189923,-2.95955384811173,45_4_8_4_15,1.42405879413555,0.00011322031439,-3.94607564350194,75_4_8_8_15,1.27472650566512,0.000525508503722,-3.27942025187202
15_4_8_2_15,1.244724425351,0.001078842708044,-2.96704186950428,45_4_8_4_15,1.24493217443868,0.000117725350387,-3.92913000829027,75_4_8_8_15,1.21564642666861,0.000522045954027,-3.28229126576773
16_4_8_2_16,1.32086120188218,7.27265370751269E-05,-4.13830709117143,46_4_8_4_16,1.09856224181335,1.05102658448727E-06,-5.97838629886223,76_4_8_8_16,1.46248197647185,1.17522082972218E-06,-5.9298805196742
16_4_8_2_16,1.3152435524348,7.24174609999847E-05,-4.14015670587949,46_4_8_4_16,1.23200774020917,9.48122151574728E-07,-6.02313570660985,76_4_8_8_16,1.31101932023126,1.16436973414466E-06,-5.93390909184951
16_4_8_2_16,1.50588561222719,0.000104289760506,-3.98175832986595,46_4_8_4_16,1.40076468598262,9.53617715415184E-07,-6.02062568961349,76_4_8_8_16,1.55669984574273,1.1695593885513E-06,-5.93197772044289
16_4_8_2_16,1.5116926820308,0.000117036807121,-3.93167753470278,46_4_8_4_16,1.29257580960771,9.72165243376724E-07,-6.01225990977817,76_4_8_8_16,1.37202599859181,1.20714506743577E-06,-5.91824053586694
16_4_8_2_16,1.30212388807359,9.29476051427637E-05,-4.03176179563583,46_4_8_4_16,1.42080071438301,9.40290973102078E-07,-6.02673773314679,76_4_8_8_16,1.55669984574273,1.13055834937412E-06,-5.94670701831884
17_4_8_2_17,1.04822506824605,0.001955444309783,-2.70875454805665,47_4_8_4_17,1.42955422236515,0.000392643138932,-3.40600198703077,77_4_8_8_17,1.18633163101474,1.42431968389288E-05,-4.84639252378293
17_4_8_2_17,1.04822506824605,0.001063634794638,-2.97320746405182,47_4_8_4_17,1.32823789162627,0.000263936022348,-3.57850133263169,77_4_8_8_17,1.27645283426141,1.45587059156999E-05,-4.83687722657847
17_4_8_2_17,1.2414216391114,0.001260880276771,-2.8993261486421,47_4_8_4_17,1.12987081966057,0.000300866635776,-3.52162597012567,77_4_8_8_17,1.25721305875098,1.25780939122368E-05,-4.90038516700817
17_4_8_2_17,1.41411089191802,0.001668750295056,-2.77760864450265,47_4_8_4_17,1.42955422236515,0.000251481762288,-3.59949350494155,77_4_8_8_17,1.23385574456618,1.31124968460981E-05,-4.88231460325767
17_4_8_2_17,1.04822506824605,0.001235842332818,-2.90803693244701,47_4_8_4_17,1.84710464968608,0.000302045272375,-3.51992795747685,77_4_8_8_17,1.25721305875098,1.36861497129547E-05,-4.86371871356121
18_4_8_2_18,1.56363761130022,9.98710712318301E-05,-4.00056029179206,48_4_8_4_18,1.57717463986228,5.92514066451336E-05,-4.22730133492177,78_4_8_8_18,1.67997157495936,0.000467818818492,-3.32992231223468
18_4_8_2_18,1.14159071522267,9.73872469091587E-05,-4.01149791128986,48_4_8_4_18,1.33896341707013,3.52138587918683E-05,-4.45328638162705,78_4_8_8_18,1.46887426185423,0.000509973629013,-3.2924522809028
18_4_8_2_18,1.34305035634569,9.36538913321373E-05,-4.02847417291806,48_4_8_4_18,1.42776586607607,4.55477067424414E-05,-4.34153348420526,78_4_8_8_18,1.36387984199334,0.000471071709382,-3.32691297690828
18_4_8_2_18,1.14159071522267,0.000171871500217,-3.76479613218167,48_4_8_4_18,1.31024309809192,6.45140650508781E-05,-4.19034559221626,78_4_8_8_18,1.7836751853888,0.000494638571957,-3.30571202033437
18_4_8_2_18,2.07181904861832,9.13529252418098E-05,-4.03927754140355,48_4_8_4_18,1.64267013451591,3.75880726672249E-05,-4.42494994221511,78_4_8_8_18,1.31546632944903,0.000484216044001,-3.31496082475419
19_4_8_2_19,1.07547484217477,0.000886712668245,-3.05221708683284,49_4_8_4_19,1.0943503973974,9.96659113908516E-05,-4.0014533574992,79_4_8_8_19,1.48849788895914,2.37384592882287E-06,-5.62454747174766
19_4_8_2_19,1.01542620499112,0.000929974535878,-3.03152894292896,49_4_8_4_19,1.51925893015906,9.68591811485963E-05,-4.01385920681694,79_4_8_8_19,1.48792459995257,1.98433363069129E-06,-5.70238530708766
19_4_8_2_19,1.01542620499112,0.000730347471851,-3.13647046973654,49_4_8_4_19,1.04301625805515,9.65893032406872E-05,-4.01507096676017,79_4_8_8_19,1.48849788895914,2.01620281872024E-06,-5.69546578243458
19_4_8_2_19,1.07519429762495,0.000671523781329,-3.17293860262748,49_4_8_4_19,1.65246503502244,0.000108194053281,-3.96579660889965,79_4_8_8_19,1.8838719191769,2.34769685146578E-06,-5.62935798248206
19_4_8_2_19,1.06461940505156,0.000857082957463,-3.06697714047474,49_4_8_4_19,1.35391355165628,0.000101797946863,-3.99226098108488,79_4_8_8_19,1.76008185642957,2.12651923882044E-06,-5.67233068382898
20_4_8_2_20,1.22251546009415,0.000689445400785,-3.16150012118765,50_4_8_4_20,1.28998060140547,0.00139076538778,-2.85674612621642,80_4_8_8_20,1.30335015496866,1.29843682555582E-06,-5.88657917578434
20_4_8_2_20,1.56356115741353,0.000392030486355,-3.40668015864,50_4_8_4_20,1.41313239659472,0.001212648404474,-2.91626510031314,80_4_8_8_20,1.29146274491549,1.21302385350709E-06,-5.91613065886579
20_4_8_2_20,1.19609261733625,0.000389859574571,-3.40909179546307,50_4_8_4_20,1.40211902212589,0.00098394835038,-3.00702769804607,80_4_8_8_20,1.19392189725321,1.24575218859118E-06,-5.90456834116896
20_4_8_2_20,1.24010781266956,0.000654590206028,-3.18403049688904,50_4_8_4_20,1.40211902212589,0.001227312113825,-2.9110449791843,80_4_8_8_20,1.19392189725321,1.18077446966813E-06,-5.92783304559736
20_4_8_2_20,1.22251546009415,0.000521682162354,-3.28259401266205,50_4_8_4_20,1.40211902212589,0.00143838881081,-2.8421237039636,80_4_8_8_20,1.41510262003126,1.19610090951239E-06,-5.92223217938129
21_4_8_2_21,1.73509703667529,0.000297032943084,-3.52719538163836,51_4_8_4_21,1.41044271849043,0.000153323442425,-3.81439143850739,81_4_8_8_21,1.3674809973472,0.000262969379694,-3.58009481806647
21_4_8_2_21,1.68123368611184,0.000375666136643,-3.4251979514149,51_4_8_4_21,1.65115624314482,0.000173642249596,-3.76034459636106,81_4_8_8_21,2.04453620410605,0.000252216953161,-3.59822572499175
21_4_8_2_21,1.22814171154368,0.000374830600938,-3.42616496080431,51_4_8_4_21,1.71230123823709,0.000151918804981,-3.81838846449152,81_4_8_8_21,1.51034646115947,0.00026304379095,-3.5799719451043
21_4_8_2_21,1.66315489938313,0.00031184049252,-3.5060674923018,51_4_8_4_21,1.41875326776554,0.000147341624343,-3.8316745466479,81_4_8_8_21,2.02035233784223,0.000287264654869,-3.54171780644675
21_4_8_2_21,1.4700201447034,0.000293040939161,-3.53307170248009,51_4_8_4_21,1.65115624314482,0.000284269557288,-3.5462696468513,81_4_8_8_21,1.5992594948609,0.000263825109141,-3.57868387352666
22_4_8_2_22,1.13854370416801,0.000345736865884,-3.46125430921566,52_4_8_4_22,1.42997804273299,4.17756825961268E-05,-4.37907644519736,82_4_8_8_22,1.50531536041899,3.48390084641955E-05,-4.45793421372914
22_4_8_2_22,1.13854370416801,0.000283323256136,-3.5477177756491,52_4_8_4_22,1.363805279449,3.39311628571462E-05,-4.46940125636467,82_4_8_8_22,1.39805410730185,3.27149049129972E-05,-4.48525433765572
22_4_8_2_22,1.13854370416801,0.000268615130888,-3.57086952749734,52_4_8_4_22,1.73244606772774,3.36464827053283E-05,-4.47306032881018,82_4_8_8_22,1.27174297484591,3.34244853569565E-05,-4.47593527092775
22_4_8_2_22,1.0750174864153,0.000307783507907,-3.51175465486468,52_4_8_4_22,1.7263054084708,5.41027850430964E-05,-4.26678037818887,82_4_8_8_22,1.37625599940688,3.54140932684501E-05,-4.45082387326556
22_4_8_2_22,1.03477589625803,0.00032600879354,-3.48677068540879,52_4_8_4_22,1.32333982769145,3.12877043045519E-05,-4.5046263014892,82_4_8_8_22,1.27184572920557,3.64390427986135E-05,-4.43843303984229
23_4_8_2_23,1.38745986596492,0.000103018970788,-3.98708279325718,53_4_8_4_23,1.51194315597449,0.000637273291751,-3.19567428250556,83_4_8_8_23,1.62357760276718,1.04499620883493E-05,-4.98088528513672
23_4_8_2_23,1.79110182314718,0.000100829326876,-3.99641313209508,53_4_8_4_23,1.51194315597449,0.000599404899447,-3.22227971151693,83_4_8_8_23,1.3953966555845,9.99812863455438E-06,-5.00008127997413
23_4_8_2_23,1.23969913961707,0.000119192133748,-3.92375240552319,53_4_8_4_23,1.50006057047496,0.000612219366257,-3.21309293653935,83_4_8_8_23,1.41265180672038,9.71179231790529E-06,-5.01270061335203
23_4_8_2_23,1.77727424423235,9.56043834738181E-05,-4.01952219480709,53_4_8_4_23,1.2335541603733,0.000661177200994,-3.179682130378,83_4_8_8_23,1.51647042825689,1.00230845520605E-05,-4.99899860603466
23_4_8_2_23,1.11364682360917,9.41697891869736E-05,-4.02608840181176,53_4_8_4_23,1.49600016338832,0.000567204444386,-3.24626037485495,83_4_8_8_23,1.40599462616527,9.4596062041593E-06,-5.02412694255385
24_4_8_2_24,1.11946891167971,0.001484064337576,-2.82854727099202,54_4_8_4_24,1.28601009127482,9.52171253531503E-05,-4.02128493420481,84_4_8_8_24,1.45733975081032,8.31910309870825E-07,-6.07992349345429
24_4_8_2_24,0.999837957722336,0.001019689478889,-2.99153206170524,54_4_8_4_24,1.15037379941923,8.31406709659464E-05,-4.0801864749509,84_4_8_8_24,1.34903602436063,8.7917665614322E-07,-6.05592385179792
24_4_8_2_24,0.999837957722336,0.000851190120268,-3.06997342585962,54_4_8_4_24,1.28601009127482,8.50093140235507E-05,-4.07053348831597,84_4_8_8_24,1.25535615193737,8.75897412023843E-07,-6.05754675684673
24_4_8_2_24,1.12797071493121,0.001150391762899,-2.93915423661042,54_4_8_4_24,1.20916489138959,9.69370207046766E-05,-4.01351033216228,84_4_8_8_24,1.44133500259618,8.69791233318797E-07,-6.06058497393035
24_4_8_2_24,1.11946891167971,0.000858900723489,-3.06605703143371,54_4_8_4_24,1.21003398325311,6.94930689332941E-05,-4.15805850870672,84_4_8_8_24,1.48138720284087,8.33606470622227E-07,-6.07903892294976
25_4_8_2_25,1.23705323610903,0.000163180040041,-3.78733296463935,55_4_8_4_25,1.27144642116428,0.001330855028637,-2.87586925007904,85_4_8_8_25,1.57884959203928,3.47863538918974E-07,-6.45859108914872
25_4_8_2_25,1.23705323610903,5.74755392639523E-05,-4.24051694527382,55_4_8_4_25,1.38710297226668,0.001616140477481,-2.79152089235891,85_4_8_8_25,1.39777700920479,3.57752926309688E-07,-6.44641680515742
