Experiment config name,Optimal score,Optimal run time,,,,,mean score,median score,mean run time,median run time
00_4_8_2_0,456.265,0.943130016326904,634.659313862197,681.388495679723,0.002711391448975,0.002334356307983,139.098838144981,149.34051388551,0.287488617903854,0.247511612139622
01_4_8_2_1,492.192,0.464430093765259,637.389795598894,586.20237882465,0.003219604492188,0.002694129943848,129.5002347862,119.10034678025,0.693237698290674,0.580093749310176
02_4_8_2_2,490.602,0.694836139678955,621.117727706124,624.90619876277,0.003014612197876,0.002536773681641,126.603178891673,127.375387536694,0.43385944192092,0.365089484667957
03_4_8_2_3,771.758,7.59499192237854,871.731058429624,855.716550735169,0.004020929336548,0.003811597824097,112.953938725562,110.878870155563,0.052941851388943,0.050185673178478
04_4_8_2_4,509.567,5.02192282676697,614.686673551919,624.217130546291,0.003920555114746,0.003816604614258,120.629215304743,122.499520288066,0.078068804519445,0.075998870271666
05_4_8_2_5,388.908,0.682285070419312,560.906008582391,558.731289430562,0.002407789230347,0.002395868301392,144.225885963362,143.666699947176,0.352900764612499,0.351153558133578
06_4_8_2_6,435.398,0.275266170501709,448.049046301588,448.049046301588,0.002871131896973,0.002679347991943,102.905628023461,102.905628023461,1.04303841323459,0.97336624658958
07_4_8_2_7,490.741,1.18361186981201,633.407882650459,645.401907474965,0.003012895584106,0.003201484680176,129.071726766351,131.515790911085,0.254550977474142,0.270484333743989
08_4_8_2_8,549.053,20.7463409900665,708.512231117529,650.952703258442,0.002881717681885,0.002744436264038,129.042593541521,118.559174298008,0.013890245432988,0.013228531553358
09_4_8_2_9,584.834,4.02908301353455,644.710369850269,594.65360778173,0.002989864349365,0.002945423126221,110.238182091032,101.679041878846,0.074207067447398,0.073104056588718
10_4_8_2_10,509.391,17.3196790218353,737.934859480131,660.905247354987,0.002920627593994,0.002897024154663,144.866096864713,129.744194018934,0.016863058433774,0.016726777390105
