Experiment config name,score,memory used,run time,,2 Skills,4 Skills,8 Skills
00_4_8_2_0,1175.752,145895424,0.206447124481201,-0.68519116185997,-0.68519116185997,-0.563748227897677,-0.528796094625841
01_4_8_2_1,1021.552,123203584,0.068694829940796,-1.16307594725885,-1.16307594725885,-0.669890702023814,-0.494273561513135
02_4_8_2_2,861.187,124551168,0.018110990524292,-1.74205779665058,-1.74205779665058,-0.729199979468299,-0.518541690522518
03_4_8_2_3,1194.788,154845184,0.206146955490112,-0.685823074753518,-0.685823074753518,-0.573537669943908,-0.418481567551254
04_4_8_2_4,716,125161472,0.021080017089844,-1.67612904137116,-1.67612904137116,-0.561551000860859,-1.11595873986206
05_4_8_2_5,1002.773,124952576,0.021699905395508,-1.66354215952928,-1.66354215952928,-0.350490030508797,-0.705449626576547
06_4_8_2_6,502.866,125501440,0.031537055969238,-1.50117885114634,-1.50117885114634,-0.641909098642385,-0.74539397722106
07_4_8_2_7,858.452,125136896,0.023874044418335,-1.62207400245205,-1.62207400245205,-0.503268072074563,-0.36142702101718
08_4_8_2_8,1791.207,124604416,0.01780104637146,-1.74955446847792,-1.74955446847792,-0.923654289584071,-0.53251899644873
09_4_8_2_9,976.829,124862464,0.020424127578735,-1.68985648538714,-1.68985648538714,-1.74917073390484,-0.490163275359075
10_4_8_2_10,1716.003,125403136,0.031057119369507,-1.5078388287087,-1.5078388287087,-0.470196348574271,-1.04572454184911
11_4_8_2_11,726.072,148844544,0.198415994644165,-0.702423321568365,-0.702423321568365,-0.44339716480335,-0.588934660401896
12_4_8_2_12,1747.902,180842496,0.187045097351074,-0.728053670632198,-0.728053670632198,-0.782582052762318,-0.526176056652902
13_4_8_2_13,1733.682,185339904,0.318351030349731,-0.497093740194741,-0.497093740194741,-0.572447246575616,-0.334045863923854
14_4_8_2_14,1851.849,125157376,0.026162147521973,-1.58232660978726,-1.58232660978726,-0.781924163252758,-0.664343099628661
15_4_8_2_15,1077.572,123891712,0.072115898132324,-1.14196898340774,-1.14196898340774,-0.604275257849478,-0.625970523292971
16_4_8_2_16,1682.616,125218816,0.024065971374512,-1.61859660420991,-1.61859660420991,-0.806900906046891,-0.832774024505589
