Experiment config name,greedy score,optimal score,,2 Skills,4 Skills,8 Skills
00_4_8_2_0,566.002996456662,1175.752,0.481396584021683,0.481396584021683,0.872679389767567,1.13386124812618
01_4_8_2_1,649.191482984184,1021.552,0.635495288525874,0.635495288525874,0.495217232805032,1.0408441680341
02_4_8_2_2,638.628342856064,861.187,0.741567560652987,0.741567560652987,1.01581562661236,0.80076516568041
03_4_8_2_3,1025.04289522712,1194.788,0.857928682935483,0.857928682935483,0.841462502997277,1.211580836407
04_4_8_2_4,740.470922900644,716,1.03417726662101,1.03417726662101,0.500483553786712,0.907572040550635
05_4_8_2_5,614.381254547245,1002.773,0.612682286566596,0.612682286566596,0.802943408469249,1.05492239580956
06_4_8_2_6,500.905759519951,502.866,0.996101863160267,0.996101863160267,1.05251467061383,1.40780814095764
07_4_8_2_7,767.298100316376,858.452,0.893815962122956,0.893815962122956,1.11497041729249,1.06232812677327
08_4_8_2_8,698.772076703935,1791.207,0.390112408394973,0.390112408394973,0.78711426171216,0.852987566337742
09_4_8_2_9,735.822422179306,976.829,0.753276594142174,0.753276594142174,0.817446809053288,1.12058978755588
10_4_8_2_10,782.122683368603,1716.003,0.455781652694432,0.455781652694432,0.853203570839136,1.07752265125493
11_4_8_2_11,566.061240366599,726.072,0.779621360370045,0.779621360370045,0.798186337687601,0.951038275089376
12_4_8_2_12,723.898252611857,1747.902,0.414152654217374,0.414152654217374,0.728943067443114,1.08208852292801
13_4_8_2_13,974.650428891022,1733.682,0.562185238637202,0.562185238637202,1.0614402029824,0.785695356194819
14_4_8_2_14,703.366264458973,1851.849,0.379818367728132,0.379818367728132,1.01139723119365,0.680499135788498
15_4_8_2_15,586.852075451627,1077.572,0.544605906103376,0.544605906103376,0.705543117625296,1.10841890664783
16_4_8_2_16,1282.37267902932,1682.616,0.762130325058908,0.762130325058908,0.803542875083811,0.862953541687494
17_4_8_2_17,550.56554194528,1000.707,0.550176567112332,0.550176567112332,0.689350303635729,1.10613605198515
18_4_8_2_18,493.410834903044,858.21,0.574930185972016,0.574930185972016,1.01473197557095,1.43014246885509
19_4_8_2_19,1316.67675893066,1746.514,0.75388846521165,0.75388846521165,0.81907395181552,0.983483743611243
20_4_8_2_20,839.206379877233,1075.016,0.780645478650767,0.780645478650767,0.77415899404584,0.94873034314038
21_4_8_2_21,546.453128269299,1594.682,0.342672161765981,0.342672161765981,0.79531947459246,1.056398790186
22_4_8_2_22,779.818316246746,1548.802,0.503497746159126,0.503497746159126,1.05371905394484,0.809288543489098
23_4_8_2_23,642.201540392341,1162.449,0.552455669360411,0.552455669360411,0.826233404488451,1.05858718495449
24_4_8_2_24,863.422066446616,1202.69,0.717909075860459,0.717909075860459,0.75796723214568,0.87027860470485
25_4_8_2_25,1027.27305621277,1089.211,0.943135036473897,0.943135036473897,0.521859022157788,0.936371070745749
26_4_8_2_26,525.051149101981,894.335,0.587085543003439,0.587085543003439,1.02025117630454,1.26322927726224
