Experiment config name,score,run time
00_4_8_2_0,566.002996456662,0.001031398773193
01_4_8_2_1,649.191482984184,0.001067876815796
02_4_8_2_2,638.628342856064,0.000959157943726
03_4_8_2_3,1025.04289522712,0.001025676727295
04_4_8_2_4,740.470922900644,0.001105546951294
05_4_8_2_5,614.381254547245,0.000989198684692
06_4_8_2_6,500.905759519951,0.001041889190674
07_4_8_2_7,767.298100316376,0.001022100448608
08_4_8_2_8,698.772076703935,0.001053094863892
09_4_8_2_9,735.822422179306,0.00102424621582
10_4_8_2_10,782.122683368603,0.001129627227783
11_4_8_2_11,566.061240366599,0.001036643981934
12_4_8_2_12,723.898252611857,0.001108407974243
13_4_8_2_13,974.650428891022,0.001143217086792
14_4_8_2_14,703.366264458973,0.001091003417969
15_4_8_2_15,586.852075451627,0.001042366027832
16_4_8_2_16,1282.37267902932,0.001043796539307
17_4_8_2_17,550.56554194528,0.001008749008179
18_4_8_2_18,493.410834903044,0.001121282577515
19_4_8_2_19,1316.67675893066,0.001000165939331
20_4_8_2_20,839.206379877233,0.001058101654053
21_4_8_2_21,546.453128269299,0.001008987426758
22_4_8_2_22,779.818316246746,0.001017332077026
23_4_8_2_23,642.201540392341,0.001253128051758
24_4_8_2_24,863.422066446616,0.001113891601563
25_4_8_2_25,1027.27305621277,0.0010986328125
26_4_8_2_26,525.051149101981,0.001026630401611
27_4_8_2_27,1394.77099232326,0.001100540161133
28_4_8_2_28,1323.57519450318,0.001054525375366
29_4_8_2_29,904.087783604827,0.0010986328125
30_4_8_4_0,953.656183023489,0.001328945159912
31_4_8_4_1,658.601778338232,0.001052856445313
32_4_8_4_2,1149.01546646753,0.001290559768677
33_4_8_4_3,1281.6450017152,0.001110315322876
34_4_8_4_4,546.460475455328,0.001063585281372
35_4_8_4_5,715.101399582713,0.001226663589478
36_4_8_4_6,1217.31110265052,0.00128960609436
37_4_8_4_7,1306.01502344347,0.001292943954468
38_4_8_4_8,870.333491260202,0.000997066497803
39_4_8_4_9,1285.5438276619,0.00105357170105
40_4_8_4_10,997.682503914323,0.001176118850708
41_4_8_4_11,964.976951183478,0.00128436088562
42_4_8_4_12,1059.69733958009,0.00100302696228
43_4_8_4_13,1047.81767941732,0.001194953918457
44_4_8_4_14,1247.15392578489,0.001153945922852
45_4_8_4_15,1274.56293644698,0.00113844871521
46_4_8_4_16,966.820376672216,0.001226425170898
47_4_8_4_17,954.061509582152,0.001100540161133
48_4_8_4_18,1779.29903300847,0.001161336898804
49_4_8_4_19,801.115755421965,0.001270055770874
50_4_8_4_20,729.738525126484,0.001141548156738
51_4_8_4_21,782.918853344614,0.001137733459473
52_4_8_4_22,1497.30948639832,0.001247644424438
53_4_8_4_23,515.258154407301,0.001063823699951
54_4_8_4_24,1028.24091388249,0.001225709915161
55_4_8_4_25,1090.43695141523,0.000996589660645
56_4_8_4_26,1148.17230929196,0.001100301742554
57_4_8_4_27,871.828898000883,0.001071929931641
58_4_8_4_28,1230.29977130274,0.001169443130493
59_4_8_4_29,651.233880402978,0.001268863677979
60_4_8_8_0,1690.94882269428,0.00126314163208
61_4_8_8_1,1407.86559772212,0.001300096511841
62_4_8_8_2,1156.75573003079,0.001253843307495
63_4_8_8_3,1087.00609480763,0.001397132873535
64_4_8_8_4,1216.11295417235,0.001347780227661
65_4_8_8_5,1550.56713425672,0.001241683959961
66_4_8_8_6,1818.05891912225,0.001374006271362
67_4_8_8_7,1567.86033711712,0.001293182373047
68_4_8_8_8,1052.01003726593,0.001291513442993
69_4_8_8_9,1791.16976645571,0.001343965530396
70_4_8_8_10,1466.05792388974,0.001213312149048
71_4_8_8_11,1292.59891639635,0.001369476318359
72_4_8_8_12,1371.92268752871,0.001301288604736
73_4_8_8_13,1103.91454657942,0.001349925994873
74_4_8_8_14,876.443417945709,0.00122857093811
75_4_8_8_15,1415.64270026013,0.001206398010254
76_4_8_8_16,1113.5440317975,0.001284122467041
77_4_8_8_17,1400.76976920007,0.00135350227356
78_4_8_8_18,1318.2052178178,0.00123119354248
79_4_8_8_19,1391.14759017554,0.001310110092163
80_4_8_8_20,1206.11329539162,0.001347541809082
81_4_8_8_21,947.773528186335,0.001202583312988
82_4_8_8_22,1097.7764398752,0.001147270202637
83_4_8_8_23,1290.61255850156,0.001282215118408
84_4_8_8_24,1300.92204778537,0.0013587474823
85_4_8_8_25,1473.69824598249,0.001466512680054
86_4_8_8_26,1052.7058020601,0.001210689544678
87_4_8_8_27,1135.38509967473,0.001511335372925
88_4_8_8_28,1351.97723160423,0.001619338989258
89_4_8_8_29,985.186623270017,0.001147985458374
