Experiment config name,Unguided,Guided,Relative Performance,2 Skills,4 Skills,8 Skills
77_4_8_8_17,3345.866,3345.866,1,,,
78_4_8_8_18,2205.937,2545.224,1.15380629637202,,,
79_4_8_8_19,2117.086,3014.543,1.423911451873,,,
80_4_8_8_20,2028.436,2364.721,1.16578536369893,,,
81_4_8_8_21,2151.276,2301.496,1.06982832514285,,,
82_4_8_8_22,2686.916,2719.899,1.01227541166155,,,
83_4_8_8_23,2500.12,2523.806,1.00947394525063,,,
84_4_8_8_24,2152.742,3218.731,1.49517731339845,,,
85_4_8_8_25,3181.53,3181.53,1,,,
86_4_8_8_26,1831.046,1832.614,1.00085634112961,,,
87_4_8_8_27,2916.862,2918.976,1.00072475146236,,,
88_4_8_8_28,3305,4036.955,1.22146898638427,,,
89_4_8_8_29,2536.126,2896.944,1.14227132248161,,,
