Experiment,Optimal ,Greedy,,,2 Skills,4 Skills,8 Skills
,416263.80619266,458625.057627573,1.10176539685823,,,,
,397869.798410528,482803.338595667,1.21347068946787,,,,
,431589.677870622,455126.805306481,1.05453589055231,,,,
,587863.515151728,430838.911453089,0.732889353308292,,,,
,337719.965151575,475492.058078551,1.40794772931219,,,,
,416784.445263594,435242.843896952,1.04428763799399,,,,
,378094.12800105,461526.855050139,1.2206665506555,,,,
,453594.273503676,481164.467323366,1.06078161791314,,,,
,499506.094309011,480071.21093161,0.961091799281676,,,,
,406881.408658601,438475.335494674,1.07764898116193,,,,
,534577.213047821,444830.347585176,0.832116178407671,,,,
,467439.837528464,448484.990783347,0.959449654857535,,,,
,382490.747147507,428150.038363145,1.11937358369098,,,,
,408940.985912438,446801.187668222,1.09258108886129,,,,
,461658.625400178,446356.740902083,0.966854546506456,,,,
,338934.799005089,452822.583670343,1.33601679437922,,,,
,389535.077187867,471611.669046107,1.21070398191292,,,,
,475475.623287157,487864.080323565,1.02605487312002,,,,
,374489.000854057,467183.082728361,1.24752150707472,,,,
,383636.265134564,467305.914843094,1.2180962993141,,,,
,386209.591489669,463263.08638005,1.19951212136699,,,,
,531544.121999913,456344.945681457,0.858526934630521,,,,
,372483.305510173,438967.136321778,1.17848808209148,,,,
,519051.522345021,437553.44829846,0.842986542687783,,,,
,579864.999179897,457022.910652022,0.788153986356116,,,,
