Experiment config name,Unguided,Guided,Relative Performance,Log Relative Performance,2 Skills,4 Skills,8 Skills
00_4_8_2_0,2.20976686477661,10.5941817760468,4.79425316078207,0.680720963245356,0.680720963245356,1.40410036958264,1.19924362712082
01_4_8_2_1,0.202517032623291,1.24170589447021,6.13136524067067,0.787557187483171,0.787557187483171,-0.386277882817092,-0.289079986588187
02_4_8_2_2,0.305820941925049,1.21645760536194,3.97767921877655,0.599629756382036,0.599629756382036,0.631913119663645,0.110645147112277
03_4_8_2_3,3.5772750377655,2.78377676010132,0.778183598049584,-0.108917927158114,-0.108917927158114,-0.857620892347245,0.747957889979197
04_4_8_2_4,5.82233691215515,24.3278105258942,4.17835843114911,0.621005692224792,0.621005692224792,0.156189927135735,1.35653974929722
05_4_8_2_5,2.89639115333557,1.7509286403656,0.604520780402598,-0.218588765673243,-0.218588765673243,-0.207150658844989,1.3516890192854
06_4_8_2_6,3.87329697608948,1.91837382316589,0.495281883885574,-0.305147557081985,-0.305147557081985,-0.038172066105713,0.682635868603993
07_4_8_2_7,7.46051812171936,14.4748876094818,1.94019870648688,0.287846210709368,0.287846210709368,0.645299346228518,-1.63391897710989
08_4_8_2_8,21.4071328639984,660.207577228546,30.8405418615799,1.48912199990508,1.48912199990508,1.25440765258906,-0.105454829744787
09_4_8_2_9,6.02759385108948,2.34552478790283,0.389131193283516,-0.409903954166925,-0.409903954166925,0.545255370332139,0.307611454919922
10_4_8_2_10,93.9461100101471,26.1412506103516,0.278257935400711,-0.555552441542764,-0.555552441542764,-0.65486586293514,2.08558631540047
11_4_8_2_11,7.85404300689697,3.30714535713196,0.421075534502143,-0.375639991397085,-0.375639991397085,1.43070303837641,0.086274931587734
12_4_8_2_12,124.650252103806,5.23040390014648,0.041960636355478,-1.37715793412059,-1.37715793412059,0.038539697889144,-0.107900714893398
13_4_8_2_13,57.1989030838013,34.1104829311371,0.596348550271363,-0.22449983218264,-0.22449983218264,-0.980024223639611,-0.137467788601959
14_4_8_2_14,39.5268790721893,5.71507573127747,0.144587072529552,-0.839870535395986,-0.839870535395986,0.087286468042492,-0.795326757221281
15_4_8_2_15,5.10875296592712,11.7536315917969,2.30068505370838,0.361857171124901,0.361857171124901,1.63313569407776,2.71349794801794
16_4_8_2_16,12.6343989372253,4.83525490760803,0.382705574806705,-0.417135211435925,-0.417135211435925,0.14758686242798,-2.12598141811054
17_4_8_2_17,4.21114110946655,1.93070244789124,0.458474887851908,-0.338684447051801,-0.338684447051801,1.88532660010411,1.61381061846867
18_4_8_2_18,48.5408940315247,678.885516405106,13.985846984281,1.14568877242089,1.14568877242089,-0.295512433346175,2.02641856933446
19_4_8_2_19,2.27528405189514,3.3890380859375,1.48950109465,0.173040826718756,0.173040826718756,0.943573353825097,-0.913306334380418
20_4_8_2_20,6.14583992958069,1.970543384552,0.320630443866189,-0.493995243755492,-0.493995243755492,2.32537006786001,-1.9422706103455
21_4_8_2_21,12.9739577770233,88.7545900344849,6.84098033613675,0.835118342080802,0.835118342080802,-0.877711821269404,0.023664569637043
22_4_8_2_22,4.93116688728333,2.25123596191406,0.456532097447286,-0.340528683071201,-0.340528683071201,-0.224572397080624,1.32471611578825
23_4_8_2_23,61.0311717987061,24.5102577209473,0.401602279598815,-0.396203830687797,-0.396203830687797,1.36510694154541,0.777906733079078
24_4_8_2_24,2.4299738407135,593.18216252327,244.110513695529,2.38758648462662,2.38758648462662,1.57441552331289,-2.16806084919427
25_4_8_2_25,23.7054131031036,13.2890875339508,0.56059295301675,-0.251352365878578,-0.251352365878578,0.166741641223454,-2.12764360391943
26_4_8_2_26,5.06521892547607,1.47125744819641,0.290462755873505,-0.536909546425381,-0.536909546425381,2.23216441776307,0.58188019261659
27_4_8_2_27,48.3412301540375,17.176141500473,0.355310393337983,-0.44939208858915,-0.44939208858915,0.451396776942774,0.750007165100751
28_4_8_2_28,24.5474228858948,14.9323606491089,0.608306652739876,-0.215877433853667,-0.215877433853667,2.43507966756579,-1.6868538178137
29_4_8_2_29,22.0620930194855,13.6262149810791,0.617630202585234,-0.209271474823567,-0.209271474823567,0.100664187384646,-0.947102036128891
30_4_8_4_0,35.5723249912262,902.0126349926,25.3571459052811,1.40410036958264,,,
31_4_8_4_1,36.0750679969788,14.8227667808533,0.410886731581341,-0.386277882817092,,,
32_4_8_4_2,241.913708925247,1036.51024627686,4.28462798111679,0.631913119663645,,,
33_4_8_4_3,33.8398978710175,4.69686579704285,0.138796689486038,-0.857620892347245,,,
34_4_8_4_4,6.81449294090271,9.76390337944031,1.43281436551711,0.156189927135735,,,
35_4_8_4_5,1886.2023961544,1170.67847561836,0.620653689129623,-0.207150658844989,,,
36_4_8_4_6,3.47669315338135,3.18415570259094,0.915857558350845,-0.038172066105713,,,
37_4_8_4_7,248.820168018341,1099.47390246391,4.41874913605423,0.645299346228518,,,
38_4_8_4_8,1.35367298126221,24.3176393508911,17.9641905301357,1.25440765258906,,,
39_4_8_4_9,3.67738509178162,12.9060838222504,3.50958180884929,0.545255370332139,,,
40_4_8_4_10,143.955169200897,31.8684837818146,0.221377835604781,-0.65486586293514,,,
41_4_8_4_11,37.927582025528,1022.48794078827,26.9589540429986,1.43070303837641,,,
42_4_8_4_12,2.62345314025879,2.86690306663513,1.09279751280495,0.038539697889144,,,
43_4_8_4_13,72.9500319957733,7.63838005065918,0.104707014399963,-0.980024223639611,,,
44_4_8_4_14,10.2774548530579,12.5652763843536,1.22260584590309,0.087286468042492,,,
