Experiment config name,Unguided,Guided,Relative Performance,2 Skills,4 Skills,8 Skills
00_4_8_2_0,1668.184,1781.85601371156,1.06814117250349,1.06814117250349,46.512558589294,1.26046047872062
01_4_8_2_1,1696.045,1890.69760912336,1.11476854041217,1.11476854041217,1.21455351441022,32.2642739063445
02_4_8_2_2,1440.167,1561.92283858199,1.08454286105847,1.08454286105847,37.9268883020749,1.51793220133917
03_4_8_2_3,1715.918,2320.46389857035,1.35231631031923,1.35231631031923,1.15062721457066,1.2688072136411
04_4_8_2_4,1410.354,1686.32085025341,1.19567204421969,1.19567204421969,1.28148179503898,1.28809154821843
05_4_8_2_5,1450.145,1580.3355828239,1.08977763108096,1.08977763108096,51.6631526551249,40.669673997692
06_4_8_2_6,1220.466,1367.72963799453,1.12066181113978,1.12066181113978,1.125231242349,1.3705848285755
07_4_8_2_7,1881.829,2595.18473343583,1.37907574675267,1.37907574675267,47.1705478509722,1.40928356485871
08_4_8_2_8,1652.287,2121.84789419491,1.28418845769222,1.28418845769222,1.28990580111379,1.38447955494772
09_4_8_2_9,1501.224,1877.90419846011,1.25091538535229,1.25091538535229,1.47167780252488,36.766565417823
10_4_8_2_10,1835.604,2442.78475145092,1.33077981495514,1.33077981495514,1.10993780640912,1.33962282552586
11_4_8_2_11,1314.54,1456.06044516696,1.10765777014542,1.10765777014542,1.36096457256902,1.24193096941312
12_4_8_2_12,2084.164,2532.87020181023,1.21529313519005,1.21529313519005,1.07483238297619,1.06803725219882
13_4_8_2_13,2077.479,2479.80595298955,1.19366114073334,1.19366114073334,1.13174054710492,1.27131654738334
14_4_8_2_14,1981.712,2865.12751823132,1.44578400808559,1.44578400808559,1.25662677355763,1.38979694847677
15_4_8_2_15,1840.831,2342.1304036306,1.27232233900374,1.27232233900374,1.33015794569543,1.39297818992844
16_4_8_2_16,2048.972,2294.85099274564,1.12000114825661,1.12000114825661,1.32841595774623,1.48256139130604
17_4_8_2_17,1415.934,1547.61972828836,1.09300273055691,1.09300273055691,47.7519151473696,30.0022903412367
18_4_8_2_18,1284.243,1909.78586810829,1.4870907360276,1.4870907360276,1.33125684405392,1.25939021597906
19_4_8_2_19,1890.84,2102.73415252631,1.11206350221399,1.11206350221399,1.25534847462165,1.31132259524601
20_4_8_2_20,1740.733,2074.13502309705,1.19152967347494,1.19152967347494,1.31314579216373,1.351482088259
21_4_8_2_21,1514.291,1681.53289250498,1.110442373695,1.110442373695,1.33135347188173,1.07661060661125
22_4_8_2_22,1582.401,2069.46922443599,1.30780328401966,1.30780328401966,1.18719002047454,1.1166390154652
23_4_8_2_23,1881.33,2654.62923385202,1.4110385917686,1.4110385917686,1.230963756612,40.2329576238165
24_4_8_2_24,1161.882,1288.39562265786,1.10888680834875,1.10888680834875,1.26803794624434,1.24113295351054
25_4_8_2_25,1558.882,1662.59481735906,1.06653025524643,1.06653025524643,1.3274383231679,1.49864396471089
26_4_8_2_26,1418.343,1604.41382242828,1.13118887492537,1.13118887492537,1.28066824998303,1.34225002585116
27_4_8_2_27,1698.976,2110.43908115322,1.24218298619476,1.24218298619476,1.35308029929422,1.0608875549829
28_4_8_2_28,2125.766,3049.31355033319,1.43445400403111,1.43445400403111,41.0946751737666,1.29883052488398
29_4_8_2_29,1553.65,1779.85608934497,1.14559655607439,1.14559655607439,1.24118446468243,1.20778003396403
30_4_8_4_0,2163.73,100640.618396413,46.512558589294,,,
31_4_8_4_1,1784.281,2167.10475924538,1.21455351441022,,,
32_4_8_4_2,2644.83,100310.171987977,37.9268883020749,,,
33_4_8_4_3,1896.739,2182.43951233753,1.15062721457066,,,
34_4_8_4_4,1568.683,2010.23870668712,1.28148179503898,,,
35_4_8_4_5,1943.491,100406.872216861,51.6631526551249,,,
36_4_8_4_6,2449.877,2756.67814031224,1.125231242349,,,
37_4_8_4_7,2137.985,100849.923747161,47.1705478509722,,,
38_4_8_4_8,1374.227,1772.6233793472,1.28990580111379,,,
39_4_8_4_9,2111.274,3107.11508084791,1.47167780252488,,,
40_4_8_4_10,2675.079,2969.17131723111,1.10993780640912,,,
41_4_8_4_11,2608.664,3550.29928573618,1.36096457256902,,,
42_4_8_4_12,2130.398,2289.82075902771,1.07483238297619,,,
43_4_8_4_13,1415.416,1601.88367822106,1.13174054710492,,,
44_4_8_4_14,2044.645,2569.35564942074,1.25662677355763,,,
45_4_8_4_15,2794.302,3716.86300797263,1.33015794569543,,,
46_4_8_4_16,2061.088,2737.98218951925,1.32841595774623,,,
47_4_8_4_17,2098.763,100219.952690439,47.7519151473696,,,
48_4_8_4_18,2174.751,2895.1521528631,1.33125684405392,,,
49_4_8_4_19,2282.249,2865.01780085678,1.25534847462165,,,
50_4_8_4_20,1897.836,2492.13535761684,1.31314579216373,,,
51_4_8_4_21,1732.309,2306.31560152197,1.33135347188173,,,
52_4_8_4_22,2785.565,3306.99496938316,1.18719002047454,,,
53_4_8_4_23,1263.939,1555.86309956842,1.230963756612,,,
54_4_8_4_24,2307.715,2926.27018911725,1.26803794624434,,,
55_4_8_4_25,1604.912,2130.42169411204,1.3274383231679,,,
56_4_8_4_26,1795.684,2299.67548580253,1.28066824998303,,,
57_4_8_4_27,1575.688,2132.03239063431,1.35308029929422,,,
58_4_8_4_28,2445.214,100485.275060346,41.0946751737666,,,
59_4_8_4_29,1532.049,1901.55541793225,1.24118446468243,,,
60_4_8_8_0,2586.143,3259.73104381999,1.26046047872062,,,
61_4_8_8_1,3117.981,100599.393018778,32.2642739063445,,,
62_4_8_8_2,2566.645,3895.99309490618,1.51793220133917,,,
63_4_8_8_3,2615.16,3318.13387282565,1.2688072136411,,,
64_4_8_8_4,2442.492,3146.15330179113,1.28809154821843,,,
65_4_8_8_5,2480.27,100871.772326255,40.669673997692,,,
66_4_8_8_6,2919.485,4001.40184825374,1.3705848285755,,,
67_4_8_8_7,2910.511,4101.73531764048,1.40928356485871,,,
68_4_8_8_8,2846.934,3941.52191728553,1.38447955494772,,,
69_4_8_8_9,2731.576,100430.667697755,36.766565417823,,,
70_4_8_8_10,2480.289,3322.65175830071,1.33962282552586,,,
71_4_8_8_11,2806.486,3485.46187862435,1.24193096941312,,,
72_4_8_8_12,2935.64,3135.37287904495,1.06803725219882,,,
73_4_8_8_13,2798.279,3557.49839689531,1.27131654738334,,,
74_4_8_8_14,1921.162,2670.02508512953,1.38979694847677,,,
75_4_8_8_15,3292.387,4586.22328380392,1.39297818992844,,,
76_4_8_8_16,1671.958,2478.78037868526,1.48256139130604,,,
77_4_8_8_17,3345.866,100383.643174872,30.0022903412367,,,
78_4_8_8_18,2205.937,2778.13547486619,1.25939021597906,,,
79_4_8_8_19,2117.086,2776.182707879,1.31132259524601,,,
80_4_8_8_20,2028.436,2741.39492117973,1.351482088259,,,
81_4_8_8_21,2151.276,2316.08655934822,1.07661060661125,,,
82_4_8_8_22,2686.916,3000.31523687768,1.1166390154652,,,
