Experiment,config,name,score,memory,used,run,time
00_4_8_2_0,1781.85601371156,10.5941817760468,,,,,
01_4_8_2_1,1890.69760912336,1.24170589447021,,,,,
02_4_8_2_2,1561.92283858199,1.21645760536194,,,,,
03_4_8_2_3,2320.46389857035,2.78377676010132,,,,,
04_4_8_2_4,1686.32085025341,24.3278105258942,,,,,
05_4_8_2_5,1580.3355828239,1.7509286403656,,,,,
06_4_8_2_6,1367.72963799453,1.91837382316589,,,,,
07_4_8_2_7,2595.18473343583,14.4748876094818,,,,,
08_4_8_2_8,2121.84789419491,660.207577228546,,,,,
09_4_8_2_9,1877.90419846011,2.34552478790283,,,,,
10_4_8_2_10,2442.78475145092,26.1412506103516,,,,,
11_4_8_2_11,1456.06044516696,3.30714535713196,,,,,
12_4_8_2_12,2532.87020181023,5.23040390014648,,,,,
13_4_8_2_13,2479.80595298955,34.1104829311371,,,,,
14_4_8_2_14,2865.12751823132,5.71507573127747,,,,,
15_4_8_2_15,2342.1304036306,11.7536315917969,,,,,
16_4_8_2_16,2294.85099274564,4.83525490760803,,,,,
17_4_8_2_17,1547.61972828836,1.93070244789124,,,,,
18_4_8_2_18,1909.78586810829,678.885516405106,,,,,
19_4_8_2_19,2102.73415252631,3.3890380859375,,,,,
20_4_8_2_20,2074.13502309705,1.970543384552,,,,,
21_4_8_2_21,1681.53289250498,88.7545900344849,,,,,
22_4_8_2_22,2069.46922443599,2.25123596191406,,,,,
23_4_8_2_23,2654.62923385202,24.5102577209473,,,,,
24_4_8_2_24,1288.39562265786,593.18216252327,,,,,
25_4_8_2_25,1662.59481735906,13.2890875339508,,,,,
26_4_8_2_26,1604.41382242828,1.47125744819641,,,,,
27_4_8_2_27,2110.43908115322,17.176141500473,,,,,
28_4_8_2_28,3049.31355033319,14.9323606491089,,,,,
29_4_8_2_29,1779.85608934497,13.6262149810791,,,,,
30_4_8_4_0,100640.618396413,902.0126349926,,,,,
31_4_8_4_1,2167.10475924538,14.8227667808533,,,,,
32_4_8_4_2,100310.171987977,1036.51024627686,,,,,
33_4_8_4_3,2182.43951233753,4.69686579704285,,,,,
34_4_8_4_4,2010.23870668712,9.76390337944031,,,,,
35_4_8_4_5,100406.872216861,1170.67847561836,,,,,
36_4_8_4_6,2756.67814031224,3.18415570259094,,,,,
37_4_8_4_7,100849.923747161,1099.47390246391,,,,,
38_4_8_4_8,1772.6233793472,24.3176393508911,,,,,
39_4_8_4_9,3107.11508084791,12.9060838222504,,,,,
40_4_8_4_10,2969.17131723111,31.8684837818146,,,,,
41_4_8_4_11,3550.29928573618,1022.48794078827,,,,,
42_4_8_4_12,2289.82075902771,2.86690306663513,,,,,
43_4_8_4_13,1601.88367822106,7.63838005065918,,,,,
44_4_8_4_14,2569.35564942074,12.5652763843536,,,,,
45_4_8_4_15,3716.86300797263,1023.28361463547,,,,,
46_4_8_4_16,2737.98218951925,1135.88119983673,,,,,
47_4_8_4_17,100219.952690439,915.280117511749,,,,,
48_4_8_4_18,2895.1521528631,19.4113521575928,,,,,
49_4_8_4_19,2865.01780085678,110.279211997986,,,,,
50_4_8_4_20,2492.13535761684,918.252971410751,,,,,
51_4_8_4_21,2306.31560152197,3.43091368675232,,,,,
52_4_8_4_22,3306.99496938316,31.8095850944519,,,,,
53_4_8_4_23,1555.86309956842,100.948298215866,,,,,
54_4_8_4_24,2926.27018911725,919.944329023361,,,,,
55_4_8_4_25,2130.42169411204,3.10809063911438,,,,,
56_4_8_4_26,2299.67548580253,607.067412376404,,,,,
57_4_8_4_27,2132.03239063431,9.14948654174805,,,,,
58_4_8_4_28,100485.275060346,731.63011932373,,,,,
59_4_8_4_29,1901.55541793225,18.580188035965,,,,,
60_4_8_8_0,3259.73104381999,1375.64794802666,,,,,
61_4_8_8_1,100599.393018778,1261.12962245941,,,,,
62_4_8_8_2,3895.99309490618,1580.8424949646,,,,,
63_4_8_8_3,3318.13387282565,1444.2499628067,,,,,
64_4_8_8_4,3146.15330179113,55.4560558795929,,,,,
65_4_8_8_5,100871.772326255,1111.54002141953,,,,,
66_4_8_8_6,4001.40184825374,1297.85704493523,,,,,
67_4_8_8_7,4101.73531764048,54.432226896286,,,,,
68_4_8_8_8,3941.52191728553,728.917701721191,,,,,
69_4_8_8_9,100430.667697755,1671.3204100132,,,,,
70_4_8_8_10,3322.65175830071,1163.16296195984,,,,,
71_4_8_8_11,3485.46187862435,1789.72123408318,,,,,
72_4_8_8_12,3135.37287904495,1323.91086268425,,,,,
73_4_8_8_13,3557.49839689531,1668.77276444435,,,,,
74_4_8_8_14,2670.02508512953,41.7609179019928,,,,,
75_4_8_8_15,4586.22328380392,1044.72906947136,,,,,
76_4_8_8_16,2478.78037868526,13.1393139362335,,,,,
77_4_8_8_17,100383.643174872,1352.33129620552,,,,,
78_4_8_8_18,2778.13547486619,1054.01830554009,,,,,
79_4_8_8_19,2776.182707879,84.0844628810883,,,,,
80_4_8_8_20,2741.39492117973,10.0563759803772,,,,,
81_4_8_8_21,2316.08655934822,14.1246166229248,,,,,
82_4_8_8_22,3000.31523687768,1075.1464509964,,,,,
83_4_8_8_23,100587.222014456,1371.16868638992,,,,,
84_4_8_8_24,2671.83903660618,10.9099180698395,,,,,
85_4_8_8_25,4767.98073304663,48.2669603824616,,,,,
86_4_8_8_26,2457.72154083465,56.6678740978241,,,,,
87_4_8_8_27,3094.46259540252,1017.86468577385,,,,,
88_4_8_8_28,4292.63488474157,42.7011530399323,,,,,
89_4_8_8_29,3063.08234641706,9.37114429473877,,,,,
